Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,max_depth,max_features,min_samples_split,n_estimators,cv_r2,mse,r2,test_mse,test_r2,model_type,stage,model_rank,feature_set,model
2025-03-20 21:46:48,5.8s,5484467960e34551ad791c427df92bed,glamorous-flea-613,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,10,0.8011989642660642,,90,0.8962575608806118,,,,,rf,,,,
2025-03-20 21:46:32,16.2s,efef6d535baa49c9abb7e1f4df6842cd,carefree-sow-658,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,12,0.8787633517630384,,220,0.8968803094653248,,,,,rf,,,,
2025-03-20 21:46:31,0.9s,05f80d4371924bf58cf1ebd8f594de2d,bemused-rat-145,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,10,,11,,0.8050582940660636,,,,,dt,,,,
2025-03-20 21:46:30,0.9s,ae9d1c3944e84e849b24637911025448,bustling-crab-79,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,5,,18,,0.7898796639192518,,,,,dt,,,,
2025-03-20 21:46:24,5.7s,fc5ea37bab1c4ce2ab9b2107e8350e02,delightful-dog-787,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,13,0.8255777838361926,,70,0.8973342439631106,,,,,rf,,,,
2025-03-20 21:46:13,10.7s,58cb5102b73c41e8a490971b074a2343,kindly-fly-462,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,8,0.8040321450310071,,220,0.8935869835806333,,,,,rf,,,,
2025-03-20 21:46:12,0.9s,46cfd13c772a4e66b64344f4061ca3ff,abundant-grub-926,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,5,,8,,0.7964977421067942,,,,,dt,,,,
2025-03-20 21:46:01,11.0s,98b8e60970444bc58d3aa01482a294b9,chill-squirrel-489,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,13,0.7949848988126491,,150,0.8968849310083076,,,,,rf,,,,
2025-03-20 21:46:00,0.9s,1c9fa62cc3064778a020d9a222ceb21c,overjoyed-bat-494,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,20,,11,,0.8001622306503269,,,,,dt,,,,
2025-03-20 21:45:52,8.7s,f834efeafc2f4e9daca04126658527d5,masked-steed-554,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,18,0.4692663925604327,,170,0.9007985411566697,,,,,rf,,,,
2025-03-20 21:45:40,11.5s,ab0048dcdf05491abc518a28ae83961e,skillful-owl-500,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,16,0.5728221621904563,,200,0.9031455019404746,,,,,rf,,,,
2025-03-20 21:45:32,8.5s,51f9d06691c34e1eb0a663ff0bf42e8d,rare-penguin-185,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,12,0.688372726338804,,140,0.8994186799218656,,,,,rf,,,,
2025-03-20 21:45:17,14.4s,db8913bdbef04930ae869a2b208f282d,painted-steed-949,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,16,0.9144123366091437,,170,0.8965986391509018,,,,,rf,,,,
2025-03-20 21:45:00,17.6s,8c1ada10d96e45eb8ec6a0d11b70ee22,adaptable-frog-35,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,19,0.8379139389997396,,220,0.8990559119653782,,,,,rf,,,,
2025-03-20 21:44:54,6.3s,b393abc70b9a4d06a45669814c3479a6,dazzling-slug-38,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,5,0.7839115123168752,,200,0.8595171866038177,,,,,rf,,,,
2025-03-20 21:44:39,14.9s,bfc77f7f43b843e4a904b196417d5772,fun-fly-363,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,20,0.6690567980134323,,220,0.9021635590599285,,,,,rf,,,,
2025-03-20 21:44:38,0.9s,1e7be6fe38024475806f2466d1746092,peaceful-hog-693,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,6,,17,,0.7962643389348031,,,,,dt,,,,
2025-03-20 21:44:37,1.1s,92d674a58cb44d1ba45ac5f121c8e29c,suave-boar-461,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,15,,20,,0.8034437817005223,,,,,dt,,,,
2025-03-20 21:43:35,18ms,796f36757e6b4c4a9d5f047cfb611a17,stylish-mole-96,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FAILED,,,,,,,,,,,,,,
2025-03-20 21:41:07,2.6s,016f35c3d651457fa03a163edd960d98,resilient-shrew-165,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,10,,,100,,781926869.5239077,0.8834978955337798,,,,,,,random_forest
2025-03-20 21:40:02,0.9s,def0562e08124b5890c897b628ba5c6a,likeable-bat-55,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,5,,,,,1272922890.408462,0.8103426275067078,,,,,,,decision_tree
2025-03-20 21:39:37,1.0s,1c03e325514a4bfdba1ed477bd05d88c,painted-bird-117,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,,,,,,852129680.3418137,0.8730381255495231,,,,,,,linear_regression
