Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,max_depth,max_features,min_samples_split,n_estimators,cv_r2,mse,r2,test_mse,test_r2,model_type,model
2025-04-17 10:04:30,3.0s,27a00ec8ed1e4b79ba473dc69b066d1a,mercurial-koi-566,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,5,,18,,0.7938559915965046,,,,,dt,
2025-04-17 10:04:18,11.3s,264c857c4e244277872695b3024c64db,secretive-shrew-584,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,11,0.8105300415595951,,140,0.8980681205955022,,,,,rf,
2025-04-17 10:04:14,3.4s,fd236eb51f744e40a097b3ba04e3eebc,intrigued-crane-226,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,7,,18,,0.798323416283276,,,,,dt,
2025-04-17 10:04:11,2.7s,ee891cadd7bf4857aea4e6cfe55368a2,gregarious-deer-813,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,17,,8,,0.7949564370088051,,,,,dt,
2025-04-17 10:04:09,2.3s,84dec1aa1b2a40288a1f02015a43680a,sincere-squid-29,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,11,,3,,0.7908106554606498,,,,,dt,
2025-04-17 10:03:41,26.7s,4a414e20612149d5940b61a3592c558d,gentle-toad-975,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,15,0.9129619712037118,,300,0.8961671607371449,,,,,rf,
2025-04-17 10:03:30,11.5s,32bd8565bd5e49f18d4e7014b92d35ff,thundering-hare-936,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,16,0.42220165173258917,,230,0.9035098244506085,,,,,rf,
2025-04-17 10:03:17,13.1s,3648ca8c47ff46049bb4aa7a960100bf,beautiful-shrike-231,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,20,0.5187271051824991,,210,0.9042425168846234,,,,,rf,
2025-04-17 10:03:08,8.2s,7be78dcfad414a3586f806d96118518b,industrious-kite-980,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,13,0.3800345297574307,,140,0.9021148006795217,,,,,rf,
2025-04-17 10:03:05,2.5s,a6618dc39d3d4792bfd185fd0c30f39a,resilient-tern-401,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,19,,3,,0.7897955583309177,,,,,dt,
2025-04-17 10:03:03,1.9s,be77b8d4f1bb41c1ad8675569b906650,legendary-auk-388,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,5,,4,,0.792783975657722,,,,,dt,
2025-04-17 10:03:00,2.7s,4662119828434c309e23958b29c30a5e,handsome-gnat-70,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,2,,7,,0.6352153986024369,,,,,dt,
2025-04-17 10:02:30,14.2s,f3eb1e47bbe349aba539153500588876,abrasive-conch-520,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,10,,,100,,826712316.004611,0.8768251503349378,,,,random_forest
2025-04-17 10:02:26,2.6s,74b72912e2e54523899f2d451e11c0bc,magnificent-hawk-449,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,5,,,,,1274658530.9938364,0.8100840281559575,,,,decision_tree
2025-04-17 10:02:07,4.4s,66e01ab330c74cdeb2de38d847be76f9,selective-dove-60,LOCAL,/Users/nk13/tmp/env/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,nk13,FINISHED,,,,,,852129680.3418137,0.8730381255495231,,,,linear_regression
